species	OTU
AF391972-1-1333-Bacteria-Chloroflexi-Chloroflexia-Thermobaculales-Thermobaculaceae-Thermobaculum-Thermobaculum-terrenum	otu368
AJ431247-1-1472-Bacteria-Chloroflexi-Anaerolineae-SJA-15-Dehalococcoides-sp-BHI80-52	otu369
NR_114415-1-Dehalococcoides-ethenogenes-16S-ribosomal-RNA-partial-sequence	otu370
EU679418-1-1421-Bacteria-Chloroflexi-Dehalococcoidia-Dehalococcoidales-Dehalococcoidaceae-Dehalogenimonas-Dehalogenimonas-lykanthroporepellens	otu371
KU258214-1-1430-Bacteria-Actinobacteriota-Thermoleophilia-Solirubrobacterales-Solirubrobacteraceae-Conexibacter-Conexibacter-woesei	otu372
AJ243871-1-1509-Bacteria-Actinobacteriota-Rubrobacteria-Rubrobacterales-Rubrobacteriaceae-Rubrobacter-Rubrobacter-xylanophilus	otu373
FN178464-1-1428-Bacteria-Actinobacteriota-Coriobacteriia-Coriobacteriales-Atopobiaceae-Olsenella-Olsenella-uli	otu374
CP001721-1457029-1458528-Bacteria-Actinobacteriota-Coriobacteriia-Coriobacteriales-Atopobiaceae-Atopobium-Atopobium-parvulum-DSM-20469	otu375
ACFE01000007-338-1763-Bacteria-Actinobacteriota-Coriobacteriia-Coriobacteriales-Atopobiaceae-Atopobium-Atopobium-rimae-ATCC-49626	otu376
HM007563-1-1331-Bacteria-Actinobacteriota-Coriobacteriia-Coriobacteriales-Atopobiaceae-Atopobium-Atopobium-vaginae-DSM-15829	otu377
AJ245920-1-1417-Bacteria-Actinobacteriota-Coriobacteriia-Coriobacteriales-Coriobacteriaceae-Collinsella-Collinsella-aerofaciens	otu378
AB031063-1-1459-Bacteria-Actinobacteriota-Coriobacteriia-Coriobacteriales-Coriobacteriaceae-Collinsella-Collinsella-intestinalis	otu379
AB037384-1-1458-Bacteria-Actinobacteriota-Coriobacteriia-Coriobacteriales-Coriobacteriaceae-Collinsella-Collinsella-stercoris	otu380
KU550134-1-1474-Bacteria-Actinobacteriota-Coriobacteriia-Coriobacteriales-Eggerthellaceae-Slackia-Slackia-exigua	otu381
HZ486406-1-1493-Bacteria-Actinobacteriota-Coriobacteriia-Coriobacteriales-Eggerthellaceae-Slackia-Slackia-heliotrinireducens	otu382
AB019260-1-1429-Bacteria-Actinobacteriota-Coriobacteriia-Coriobacteriales-Eggerthellaceae-Cryptobacterium-Cryptobacterium-curtum	otu383
JN874873-1-1471-Bacteria-Actinobacteriota-Coriobacteriia-Coriobacteriales-Eggerthellaceae-Eggerthella-Eggerthella-lenta	otu384
U75647-1-1465-Bacteria-Actinobacteriota-Acidimicrobiia-Acidimicrobiales-Acidimicrobiaceae-Acidimicrobium-Acidimicrobium-ferrooxidans-DSM-10331	otu385
U58523-1-1469-Bacteria-Actinobacteriota-Actinobacteria-Streptosporangiales-Thermomonosporaceae-Thermobispora-Thermobispora-bispora	otu386
KY908428-1-1231-Bacteria-Actinobacteriota-Actinobacteria-Kineosporiales-Kineosporiaceae-Kineococcus-Kineococcus-radiotolerans	otu387
JN098519-1-1426-Bacteria-Actinobacteriota-Actinobacteria-Propionibacteriales-Nocardioidaceae-Nocardioides-Nocardia-sp-J1-2011-	otu388
AF537327-1-1375-Bacteria-Actinobacteriota-Actinobacteria-Propionibacteriales-Nocardioidaceae-Nocardioides-Nocardioides-sp-SP12	otu389
AY253863-1-1510-Bacteria-Actinobacteriota-Actinobacteria-Propionibacteriales-Nocardioidaceae-Kribbella-Kribbella-flavida	otu390
HZ484916-1-1357-Bacteria-Actinobacteriota-Actinobacteria-Propionibacteriales-Nocardioidaceae-Aeromicrobium-Aeromicrobium-marinum	otu391
KU317908-1-1447-Bacteria-Actinobacteriota-Actinobacteria-Pseudonocardiales-Pseudonocardiaceae-Lechevalieria-Actinosynnema-mirum	otu392
AM420293-7218169-7219562-Bacteria-Actinobacteriota-Actinobacteria-Pseudonocardiales-Pseudonocardiaceae-Saccharopolyspora-Saccharopolyspora-erythraea-prophage-pSE211	otu393
Z38007-1-1490-Bacteria-Actinobacteriota-Actinobacteria-Pseudonocardiales-Pseudonocardiaceae-Saccharomonospora-Saccharomonospora-viridis	otu394
AY957506-1-1417-Bacteria-Actinobacteriota-Actinobacteria-Pseudonocardiales-Pseudonocardiaceae-Amycolatopsis-Amycolatopsis-benzoatilytica	otu395
AJ293754-1-1488-Bacteria-Actinobacteriota-Actinobacteria-Pseudonocardiales-Pseudonocardiaceae-Amycolatopsis-Amycolatopsis-mediterranei	otu396
KU258249-1-1425-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Tsukamurellaceae-Tsukamurella-Tsukamurella-paurometabola	otu397
MF449142-1-1329-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-abscessus	otu398
AF544636-1-1472-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-gilvum	otu399
JN590245-1-1339-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-vanbaalenii	otu400
JN049510-1-1344-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-smegmatis	otu401
AJ416914-1-1347-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-celatum	otu402
AF541924-1-1391-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-sp-YM12	otu403
EU341970-1-1403-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-parascrofulaceum	otu404
JN049507-1-1350-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-avium-complex-sp-	otu405
CP012885-1646284-1647826-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-intracellulare-subsp-chimaera	otu406
MF523794-1-1536-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-kansasii	otu407
MTZR01000054-2285-3827-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-bovis	otu408
AX245069-1-1512-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-tuberculosis	otu409
AY500838-1-1332-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-liflandii	otu410
X52920-1-1489-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-marinum	otu411
X58954-1-1457-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-ulcerans	otu412
X53999-1-1548-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Mycobacteriaceae-Mycobacterium-Mycobacterium-leprae	otu413
FJ468343-1-1438-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Segniliparaceae-Segniliparus-Segniliparus-rotundus-DSM-44985	otu414
ADNW02000012-36230-37736-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Nocardiaceae-Rhodococcus-Rhodococcus-equi-ATCC-33707	otu415
JN408708-1-1441-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Nocardiaceae-Nocardia-Nocardia-aobensis	otu416
AJ131211-1-1332-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Nocardiaceae-Nocardia-Nocardia-farcinica	otu417
CS000360-1-1514-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Nocardiaceae-Rhodococcus-Rhodococcus-opacus	otu418
DI247854-10-1507-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Nocardiaceae-Rhodococcus-Rhodococcus-jostii-RHA1	otu419
JN051488-1-1437-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Nocardiaceae-Rhodococcus-Rhodococcus-erythropolis	otu420
HG737358-1-1362-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Nocardiaceae-Rhodococcus-Rhodococcus-sp-964	otu421
JN680104-1-1460-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Nocardiaceae-Rhodococcus-Rhodococcus-rhodochrous	otu422
JN627170-1-1425-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Nocardiaceae-Gordonia-Gordonia-bronchialis	otu423
AJ312907-1-1478-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Nocardiaceae-Gordonia-Gordonia-westfalica	otu424
AF537598-1-1470-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-kroppenstedtii	otu425
AF543288-1-1517-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-matruchotii	otu426
AF537595-1-1461-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-glucuronolyticum	otu427
X82056-1-1325-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-ammoniagenes	otu428
KF817680-1-1404-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-casei	otu429
KJ855310-1-1430-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-striatum	otu430
X81916-1-1396-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-pseudotuberculosis	otu431
AF537608-1-1443-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-aurimucosum	otu432
EU373370-1-1496-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-diphtheriae	otu433
AJ291838-1-1246-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-sp-IrT-R5M2-141	otu434
AJ438044-1-1512-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-tuberculostearicum	otu435
U87822-1-1448-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-pseudogenitalium	otu436
AJ439346-1-1505-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-accolens	otu437
U87817-1-1419-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-genitalium	otu438
Y09045-1-1474-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-lipophiloflavum	otu439
AB055963-1-1454-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-efficiens	otu440
AX127147-279369-280872-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-glutamicum	otu441
U87815-1-1464-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-jeikeium	otu442
AB128981-1-1418-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-resistens	otu443
X81913-1-1401-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-urealyticum	otu444
JN571071-1-1388-Bacteria-Actinobacteriota-Actinobacteria-Corynebacteriales-Corynebacteriaceae-Corynebacterium-Corynebacterium-amycolatum	otu445
AJ865857-1-1441-Bacteria-Actinobacteriota-Actinobacteria-Catenulisporales-Catenulisporaceae-Catenulispora-Catenulispora-acidiphila	otu446
AJ009989-1-1505-Bacteria-Actinobacteriota-Actinobacteria-Propionibacteriales-Propionibacteriaceae-Propionibacterium-Propionibacterium-freudenreichii	otu447
AODB01000023-3550-5079-Bacteria-Actinobacteriota-Actinobacteria-Propionibacteriales-Propionibacteriaceae-Cutibacterium-Propionibacterium-acnes-HL202PA1	otu448
NR_042269-1-Propionibacterium-jensenii-strain-DSM-20535-16S-ribosomal-RNA-partial-sequence	otu449
GQ131413-1-1502-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Parascardovia-Parascardovia-denticolens	otu450
AB029087-1-1557-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Scardovia-Scardovia-inopinata	otu451
JX860317-1-1391-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Gardnerella-Gardnerella-vaginalis	otu452
JN656707-1-1205-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Bifidobacterium-Bifidobacterium-longum	otu453
AB006658-1-1520-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Bifidobacterium-Bifidobacterium-breve	otu454
LC071850-1-1482-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Bifidobacterium-Bifidobacterium-gallicum-DSM-20093-=-LMG-11596	otu455
AY174106-1-1429-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Bifidobacterium-Bifidobacterium-pseudolongum	otu456
JQ002521-1-1381-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Bifidobacterium-Bifidobacterium-animalis	otu457
MF380366-1-1421-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Bifidobacterium-Bifidobacterium-adolescentis	otu458
KY996467-1-1485-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Bifidobacterium-Bifidobacterium-dentium	otu459
LC071846-1-1464-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Bifidobacterium-Bifidobacterium-angulatum-DSM-20098-=-JCM-7096	otu460
KY705020-1-1485-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Bifidobacterium-Bifidobacterium-catenulatum	otu461
JQ002526-1-1361-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Bifidobacterium-Bifidobacterium-pseudocatenulatum	otu462
KJ833593-1-1492-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Bifidobacterium-Bifidobacterium-bifidum	otu463
KP114139-1-1360-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Bifidobacterium-Bifidobacterium-asteroides	otu464
KJ741208-1-1447-Bacteria-Actinobacteriota-Actinobacteria-Bifidobacteriales-Bifidobacteriaceae-Bifidobacterium-Bifidobacterium-sp-B5	otu465
ACYT02000005-305-1832-Bacteria-Actinobacteriota-Actinobacteria-Actinomycetales-Actinomycetaceae-Actinomyces-Actinomyces-odontolyticus-F0309	otu466
JN091085-1-1424-Bacteria-Actinobacteriota-Actinobacteria-Actinomycetales-Actinomycetaceae-Actinomyces-Actinomyces-sp-ICM39	otu467
NR_044858-1-Arcanobacterium-pyogenes-strain-NCTC-5224-16S-ribosomal-RNA-partial-sequence	otu468
AJ234059-1-1483-Bacteria-Actinobacteriota-Actinobacteria-Actinomycetales-Actinomycetaceae-Arcanobacterium-Arcanobacterium-haemolyticum	otu469
AJ318408-1-1489-Bacteria-Actinobacteriota-Actinobacteria-Actinomycetales-Actinomycetaceae-Mobiluncus-Mobiluncus-curtisii	otu470
AJ427625-1-1404-Bacteria-Actinobacteriota-Actinobacteria-Actinomycetales-Actinomycetaceae-Mobiluncus-Mobiluncus-mulieris	otu471
AJ243894-1-1426-Bacteria-Actinobacteriota-Actinobacteria-Actinomycetales-Actinomycetaceae-Actinomyces-Actinomyces-urogenitalis	otu472
AF543286-1-1512-Bacteria-Actinobacteriota-Actinobacteria-Actinomycetales-Actinomycetaceae-Actinomyces-Actinomyces-viscosus	otu473
NR_028905-1-Actinomyces-coleocanis-strain-M343-98-2-16S-ribosomal-RNA-partial-sequence	otu474
JN180191-1-1491-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-scabiei	otu475
JN083780-1-1514-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-sp-SRAUA1	otu476
FJ792554-1-1458-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-filamentosus	otu477
JN999918-1-1428-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-laurentii	otu478
KY643702-1-1418-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-venezuelae	otu479
KU258242-1-1434-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-avermitilis	otu480
AB184559-1-1483-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-sviceus	otu481
JN043362-1-1518-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-lavendulae	otu482
NR_112348-1-Streptomyces-flavogriseus-strain-NBRC-13040-16S-ribosomal-RNA-partial-sequence	otu483
JN652255-1-1400-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-lividans	otu484
JN128281-1-1396-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-griseus	otu485
EU570732-1-1437-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-clavuligerus	otu486
CP011340-3929002-3930515-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-pristinaespiralis	otu487
JQ027282-1-1388-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-hygroscopicus	otu488
JN566022-1-1373-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-albulus	otu489
GQ163473-1-1428-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-violaceoruber	otu490
AJ391822-1-1480-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-violaceusniger	otu491
NR_112460-1-Streptomyces-ghanaensis-strain-NBRC-15414-16S-ribosomal-RNA-partial-sequence	otu492
JN129837-1-1375-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-albus	otu493
NR_119342-1-Streptomyces-coelicolor-strain-DSM-40233-16S-ribosomal-RNA-partial-sequence	otu494
JN862832-1-1461-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-viridochromogenes	otu495
JN128284-1-1396-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-griseoflavus	otu496
JN128892-1-1475-Bacteria-Actinobacteriota-Actinobacteria-Streptomycetales-Streptomycetaceae-Streptomyces-Streptomyces-rochei	otu497
AF542072-1-1334-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Micrococcaceae-Kocuria-Kocuria-rhizophila	otu498
AF543276-1-1488-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Micrococcaceae-Rothia-Rothia-dentocariosa	otu499
DQ870701-1-1288-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Micrococcaceae-Rothia-Rothia-mucilaginosa	otu500
NR_027199-1-Arthrobacter-nitroguajacolicus-strain-G2-1-16S-ribosomal-RNA-partial-sequence	otu501
NR_026233-1-Arthrobacter-aurescens-strain-DSM-20116-16S-ribosomal-RNA-partial-sequence	otu502
NR_074518-1-Arthrobacter-chlorophenolicus-16S-ribosomal-RNA-partial-sequence	otu503
HG737357-1-1354-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Micrococcaceae-Pseudarthrobacter-Arthrobacter-sp-968	otu504
NR_025611-1-Arthrobacter-arilaitensis-Re117-16S-ribosomal-RNA-partial-sequence	otu505
JN084154-1-1357-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Micrococcaceae-Micrococcus-Micrococcus-luteus	otu506
JN082272-1-1457-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Micrococcaceae-Micrococcus-Micrococcus-sp-cp38	otu507
X83810-1-1480-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Dermabacteraceae-Brachybacterium-Brachybacterium-faecium	otu508
KU258210-1-1463-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Beutenbergiaceae-Beutenbergia-Beutenbergia-cavernae	otu509
X83811-1-1420-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Jonesiaceae-Jonesia-Jonesia-denitrificans	otu510
AJ315491-1-1515-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Brevibacteriaceae-Brevibacterium-Brevibacterium-linens	otu511
X93594-1-1404-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Brevibacteriaceae-Brevibacterium-Brevibacterium-mcbrellneri	otu512
KF844061-1-1432-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Sanguibacteraceae-Sanguibacter-Flavimobilis-Sanguibacter-keddieii	otu513
AJ566282-1-1469-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Intrasporangiaceae-Intrasporangium-Intrasporangium-calvum	otu514
KJ744022-1-1394-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Micrococcaceae-Pseudarthrobacter-Dermacoccus-sp-76H2a	otu515
JN084152-1-1356-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Dermacoccaceae-Kytococcus-Kytococcus-sedentarius	otu516
JQ014586-1-1283-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Intrasporangiaceae-Janibacter-Janibacter-sp-LC515	otu517
HF566370-1-1336-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Promicromonosporaceae-Xylanimonas-Xylanimonas-cellulosilytica	otu518
KY951353-1-1305-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Cellulomonadaceae-Cellulomonas-Cellulomonas-flavigena	otu519
AJ551273-1-1484-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Cellulomonadaceae-Tropheryma-Tropheryma-whipplei	otu520
JN603288-1-1359-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Microbacteriaceae-Clavibacter-Clavibacter-michiganensis	otu521
JN208893-1-1385-Bacteria-Actinobacteriota-Actinobacteria-Micrococcales-Microbacteriaceae-Leifsonia-Leifsonia-xyli	otu522
X92356-1-1482-Bacteria-Actinobacteriota-Actinobacteria-Frankiales-Geodermatophilaceae-Geodermatophilus-Geodermatophilus-obscurus	otu523
AJ007290-1-1470-Bacteria-Actinobacteriota-Actinobacteria-Frankiales-Acidothermaceae-Acidothermus-Acidothermus-cellulolyticus	otu524
CP002801-3872155-3873652-Bacteria-Actinobacteriota-Actinobacteria-Frankiales-Frankiaceae-Frankia-Frankia-symbiont-of-Datisca-glomerata	otu525
MF663719-1-1484-Bacteria-Actinobacteriota-Actinobacteria-Frankiales-Frankiaceae-Frankia-Frankia-alni	otu526
JN685201-1-1381-Bacteria-Actinobacteriota-Actinobacteria-Frankiales-Frankiaceae-Frankia-Frankia-sp-AVN17o	otu527
Y08541-1-1468-Bacteria-Actinobacteriota-Actinobacteria-Frankiales-Nakamurellaceae-Nakamurella-Nakamurella-multipartita	otu528
JN161824-1-1479-Bacteria-Actinobacteriota-Actinobacteria-Micromonosporales-Micromonosporaceae-Salinispora-Salinispora-arenicola	otu529
JN161822-1-1479-Bacteria-Actinobacteriota-Actinobacteria-Micromonosporales-Micromonosporaceae-Salinispora-Salinispora-tropica	otu530
AJ245712-1-1477-Bacteria-Actinobacteriota-Actinobacteria-Micromonosporales-Micromonosporaceae-Micromonospora-Micromonospora-aurantiaca	otu531
JN885189-1-1397-Bacteria-Actinobacteriota-Actinobacteria-Micromonosporales-Micromonosporaceae-Micromonospora-Micromonospora-rosaria	otu532
JN120936-1-1395-Bacteria-Actinobacteriota-Actinobacteria-Micromonosporales-Micromonosporaceae-Micromonospora-Micromonospora-sp-HW05-07	otu533
X97893-1-1459-Bacteria-Actinobacteriota-Actinobacteria-Streptosporangiales-Thermomonosporaceae-Thermomonospora-Thermomonospora-curvata	otu534
AY650268-1-1491-Bacteria-Actinobacteriota-Actinobacteria-Micromonosporales-Micromonosporaceae-Stackebrandtia-Stackebrandtia-nassauensis	otu535
JN128285-1-1401-Bacteria-Actinobacteriota-Actinobacteria-Streptosporangiales-Nocardiopsaceae-Nocardiopsis-Nocardiopsis-dassonvillei	otu536
AB006171-1-1488-Bacteria-Actinobacteriota-Actinobacteria-Streptosporangiales-Nocardiopsaceae-Thermobifida-Thermobifida-fusca	otu537
U48996-1-1413-Bacteria-Actinobacteriota-Actinobacteria-Streptosporangiales-Streptosporangiaceae-Streptosporangium-Streptosporangium-roseum	otu538
AF188332-1-1463-Bacteria-Aquificota-Aquificae-Hydrogenothermales-Hydrogenothermaceae-Persephonella-Persephonella-marina-EX-H1	otu539
AF528192-1-1447-Bacteria-Aquificota-Aquificae-Hydrogenothermales-Hydrogenothermaceae-Sulfurihydrogenibium-Sulfurihydrogenibium-azorense-Az-Fu1	otu540
AM259492-1-1447-Bacteria-Aquificota-Aquificae-Hydrogenothermales-Hydrogenothermaceae-Sulfurihydrogenibium-Sulfurihydrogenibium-sp-Y04ANG1	otu541
JQ346738-1-1378-Bacteria-Aquificota-Aquificae-Hydrogenothermales-Hydrogenothermaceae-Sulfurihydrogenibium-Sulfurihydrogenibium-yellowstonense	otu542
AJ320225-1-1482-Bacteria-Aquificota-Aquificae-Aquificales-Hydrogenobaculaceae-Hydrogenobaculum-Hydrogenobaculum-sp-NOR3L3B	otu543
Z30189-1-1515-Bacteria-Aquificota-Aquificae-Aquificales-Aquificaceae-Hydrogenobacter-Hydrogenobacter-thermophilus	otu544
AJ278895-1-1488-Bacteria-Aquificota-Aquificae-Aquificales-Aquificaceae-Thermocrinis-Thermocrinis-albus	otu545
AJ309733-1-1586-Bacteria-Aquificota-Aquificae-Aquificales-Aquificaceae-Aquifex-Aquifex-aeolicus	otu546
AM285299-1-1518-Bacteria-Aquificota-Aquificae-Aquificales-Aquificaceae-Hydrogenivirga-Hydrogenivirga-sp-128-5-R1-6	otu547
X69335-1-1525-Bacteria-Coprothermobacterota-Coprothermobacteria-Coprothermobacterales-Coprothermobacteraceae-Coprothermobacter-Coprothermobacter-proteolyticus	otu548
CP000968-1326582-1328013-Archaea-Korarchaeota-Korarchaeia-Korarchaeales-Korarchaeaceae-Candidatus-Korarchaeum-Candidatus-Korarchaeum-cryptofilum-OPF8	otu549
